time_start_loading,time_sweeping_start,time_bfgs_start,time_done
113919.224673839,113919.234134022,113934.766010165,113972.058066941
128031.585339523,128031.598607522,128047.209236569,128085.473644835
114575.922758222,114575.931346861,114591.440300265,114631.158451552
128187.515045682,128187.524110548,128203.302252515,128241.203823054
128263.174617219,128263.183640851,128278.933707246,128316.783349142
114189.673783216,114189.683035765,114205.146908245,114245.046147776
128297.31721418,128297.327176855,128313.061605607,128354.680663803
127923.316004982,127923.324751808,127939.092837297,127976.629029152
127979.146503108,127979.158029903,127994.940371689,128032.60406526
113919.317760788,113919.327398372,113935.914979074,113973.966808389
128461.238549106,128461.247347427,128476.911680698,128514.801666989
128305.841207172,128305.8511292,128320.603584376,128358.736389151
128193.768571556,128193.778624777,128209.490428976,128247.418261599
128141.356399758,128141.365861134,128157.102013536,128195.213379542
114358.550731084,114358.559575878,114374.293781301,114414.046261835
128301.082682643,128301.09157187,128316.812925148,128356.886653995
114245.049723739,114245.058624453,114260.667656496,114300.408518654
128191.021091476,128191.030150381,128206.745097275,128244.090232163
128311.756216712,128311.766057253,128327.481253325,128366.783719572
114448.928401216,114448.937493511,114464.524592112,114501.908806705
114244.691441572,114244.700945222,114260.463540391,114298.600955041
113866.428772415,113866.473162445,113882.175974233,113919.595520151
113920.827378685,113920.836270657,113936.41004806,113974.378770546
114618.269004779,114618.277827457,114633.881540058,114671.484836375
128248.910320135,128248.919271897,128264.703339814,128303.390216856
128086.13678343,128086.145525023,128101.955332999,128140.238507496
127870.162415869,127870.171795188,127885.799496765,127923.663587999
128416.21013401,128416.219010181,128431.884647264,128469.586366071
128082.482807034,128082.491641507,128098.126221442,128138.129076889
128407.181274678,128407.195455995,128422.898223191,128462.809677372
114348.863956101,114348.872984687,114364.359110538,114402.426472847
128137.158769277,128137.16760958,128152.885550207,128190.760634689
114299.541334124,114299.551199383,114315.321617522,114354.32852413
114346.866470498,114346.87619979,114362.432055255,114402.166548925
127868.448068945,127868.458181343,127884.128089525,127921.716421729
114303.897262038,114303.906296873,114319.442739479,114358.422461702
128201.816791435,128201.826701779,128217.584283085,128257.184496458
113866.427308855,113866.472408247,113882.450995529,113920.829815694
127870.19168136,127870.200664823,127885.766151286,127923.386764423
128039.837184624,128039.845927052,128055.506010149,128095.431294821
113974.728777552,113974.738571301,113990.248626004,114029.739030896
128297.309702893,128297.318503978,128312.844696573,128350.453993109
127980.314979359,127980.325493684,127995.948851542,128034.543405167
127709.429730878,127709.43925048,127725.434075346,127762.942887744
128284.4977309,128284.506598033,128300.212841776,128337.2425762
127764.34459965,127764.354623434,127779.953493284,127818.193410812
114351.27714706,114351.288298823,114366.861702169,114405.390414586
128313.175800583,128313.184769525,128328.833870286,128367.966541224
114136.323578187,114136.333378027,114151.927214483,114191.622329342
127870.311079504,127870.319928866,127886.038515073,127923.891286363
127819.292156696,127819.300478766,127833.538580656,127872.951698571
114025.29395169,114025.303619838,114040.849869041,114078.275744303
114411.120771731,114411.129685545,114426.571838031,114466.010609469
128136.732449548,128136.741351731,128152.454330176,128189.861652215
113920.913097086,113920.922079883,113936.585756589,113975.001567728
127868.308838825,127868.317834762,127884.035762623,127921.273727818
114350.416575083,114350.425976255,114366.140374907,114405.73540958
128262.39282345,128262.402724181,128277.915731973,128317.518296992
128528.538978435,128528.54779427,128544.245199548,128583.829874856
128366.38303539,128366.393759239,128381.984713567,128419.747161413
114451.097611828,114451.106484191,114466.600576921,114503.134265755
114516.082888833,114516.092593184,114531.583457213,114570.619045672
128311.60396806,128311.613013229,128327.352973948,128367.792002388
127816.787325344,127816.79632252,127832.491451167,127870.544206776
128191.042988474,128191.051721308,128206.616036348,128244.270833314
114466.547394462,114466.556151353,114482.191582943,114520.332551661
128131.610466255,128131.619315716,128147.343144168,128184.155318638
128201.493243327,128201.501946923,128217.113846182,128256.344929804
114392.022907061,114392.031474871,114407.725616173,114444.699217124
127869.02359129,127869.032712178,127884.781335489,127921.629392113
114634.376032104,114634.385089853,114650.020082862,114690.334669128
127978.262634218,127978.2713866,127993.884663041,128031.327732339
114251.08782359,114251.098600417,114266.781997749,114306.861233268
128192.092882915,128192.102441368,128207.798723193,128247.508243933
113974.062731543,113974.071487168,113989.574733597,114027.327977928
128194.350680169,128194.359503998,128210.086826041,128249.838888022
114466.014330151,114466.023076984,114481.601195395,114521.702011702
128350.202152906,128350.211921627,128365.955477438,128403.52772753
113972.178649858,113972.187896889,113987.8097088,114025.091353561
128249.057787004,128249.067481636,128264.853853787,128303.466942086
114623.401795743,114623.410830798,114639.059418721,114679.155929592
114403.674658805,114403.683632053,114419.197356584,114457.434699247
114083.566163685,114083.575129807,114099.284310076,114138.785585068
113921.147451421,113921.159787556,113936.827778866,113973.464567418
128404.229194567,128404.238443039,128419.90534347,128460.180133699
114027.973417224,114027.982121451,114043.818242077,114083.472500575
113866.435645923,113866.473210758,113882.430702746,113920.853529766
114560.669029741,114560.678029348,114576.287860318,114615.976774395
114497.430271701,114497.439280105,114513.023741734,114549.751560473
114631.186665467,114631.199059822,114646.679093472,114686.279805609
114549.755800853,114549.764691872,114565.354068795,114601.767826243
114297.223894122,114297.232959616,114312.893616023,114351.271940242
127976.62650763,127976.635638851,127992.351211227,128029.673110238
114399.638783204,114399.647622596,114415.401028332,114452.794736286
114250.299269694,114250.308092941,114266.015223739,114304.535297797
114567.492293185,114567.501891271,114583.197399893,114621.770404828
128483.603215233,128483.617169811,128499.183000225,128535.695415163
128302.275516638,128302.288615329,128317.920385863,128356.368143194
128040.550989227,128040.559735482,128056.150431078,128096.397724669
128367.310257547,128367.319098932,128383.029395662,128422.432156587
114361.805163932,114361.814230271,114377.389039855,114417.137520786
128244.105919625,128244.117435845,128259.848668765,128297.269019112
128345.1200066,128345.128817545,128360.854212601,128400.832410656
113866.43677467,113866.472707171,113882.347103314,113920.849156108
128399.327272985,128399.335973605,128414.949688516,128452.252925079
114082.698417315,114082.708274548,114098.327553415,114136.986467509
128512.028336552,128512.038824104,128527.724032498,128568.312064703
114660.660496517,114660.669435388,114676.246950208,114713.213059211
128524.706605796,128524.716423551,128540.496321875,128579.805553834
128512.432932006,128512.446353011,128528.081639675,128567.905548524
127709.495781734,127709.505991222,127725.165085576,127763.369958453
113972.198705306,113972.207679754,113987.874986502,114025.155489314
114410.613998521,114410.623204055,114426.233723336,114463.998833136
127709.374146546,127709.417304578,127725.085219939,127763.372522867
127925.594691105,127925.605109679,127941.07267063,127979.941592977
128261.40945131,128261.418836722,128277.074707546,128313.858273053
114520.452216421,114520.46111827,114536.054966156,114576.191341674
113975.798567154,113975.80755764,113991.433029745,114029.721176938
114522.942708688,114522.951399532,114538.573484577,114578.17140649
114189.83135374,114189.841835577,114205.588195733,114244.029023159
114138.025533104,114138.038522806,114153.795872084,114192.840837723
128244.922327853,128244.93134883,128260.715407359,128298.540014906
128093.095103986,128093.104170418,128108.742134613,128148.120889662
128371.169658052,128371.178696909,128386.815178764,128426.304987923
127709.41833313,127709.428617252,127725.357204136,127763.31541222
114081.408295552,114081.417371075,114097.113633338,114134.641379149
127976.632220672,127976.640879508,127992.251467539,128030.136074187
128147.788736306,128147.799074771,128163.485945417,128200.978547636
128087.029040052,128087.037884564,128102.75396218,128141.151826015
127709.496407516,127709.506737487,127725.063195855,127763.186908929
127919.568613595,127919.577901178,127935.27010652,127971.759185254
128296.397066928,128296.405941535,128311.956847677,128349.495553334
127763.301656922,127763.312639964,127778.945838031,127818.481347226
114249.12626858,114249.134940166,114264.700470713,114303.893495067
114573.469380126,114573.478199458,114589.05293466,114629.286616452
114406.318344778,114406.327063677,114421.901471978,114460.139589811
128311.818029388,128311.826715332,128327.558328833,128367.306383364
128033.450290166,128033.45919076,128049.244489941,128087.086030664
114444.703233406,114444.712376089,114460.172357308,114497.64626908
128206.32123258,128206.330240136,128222.01648379,128261.974829905
127709.507546433,127709.521230348,127725.714872644,127764.217744048
128341.846087191,128341.854822882,128357.421117814,128394.706629409
114615.882769805,114615.891921524,114631.636288133,114671.087628393
114615.972092045,114615.981503554,114631.523152826,114671.390732534
114566.327704992,114566.337484316,114580.591419391,114620.31744218
127867.87277901,127867.881785127,127883.587085832,127920.522791305
127709.374224297,127709.417845506,127725.10458658,127762.348892466
113866.517540883,113866.528494694,113882.241831099,113920.784938839
113866.484312624,113866.494043437,113882.329623923,113920.665373892
114300.551639897,114300.560494605,114316.232392353,114355.796954123
